PLAYERS,TEAM,POS,AGE,GP,G,A,PTS,PPG,CAP %,CAPHIT,CPP
"Draisaitl, Leon",EDM,"C, LW",30,65,35,62,97,1.49,0.1466,14000000,144329.8969072165
"Matthews, Auston",TOR,C,28,60,27,26,53,0.88,0.1387,13250000,250000.0
"MacKinnon, Nathan",COL,C,30,80,53,74,127,1.59,0.1319,12600000,99212.59842519685
"McDavid, Connor",EDM,C,29,82,48,90,138,1.68,0.1309,12500000,90579.71014492754
"Marner, Mitch",VGK,"C, RW, LW",29,81,24,56,80,0.99,0.1257,12000000,150000.0
"Rantanen, Mikko",DAL,RW,29,64,22,55,77,1.2,0.1257,12000000,155844.15584415584
"Panarin, Artemi",LAK,LW,34,52,19,38,57,1.1,0.1219,11642857,204260.64912280702
"Pettersson, Elias",VAN,C,27,74,15,36,51,0.69,0.1215,11600000,227450.98039215687
"Shesterkin, Igor",NYR,G,30,51,0,0,0,0.0,0.1205,11503125,11503125.0
"Karlsson, Erik",PIT,RD,35,75,15,51,66,0.88,0.1204,11500000,174242.42424242425
"Nylander, William",TOR,RW,30,65,30,49,79,1.22,0.1204,11500000,145569.62025316455
"Pastrnak, David",BOS,RW,29,77,29,71,100,1.3,0.1178,11250000,112500.0
"Dahlin, Rasmus",BUF,"RD, LD",26,77,19,55,74,0.96,0.1152,11000000,148648.64864864864
"Doughty, Drew",LAK,RD,36,72,5,18,23,0.32,0.1152,11000000,478260.8695652174
"Bouchard, Evan",EDM,RD,26,82,21,74,95,1.16,0.1099,10500000,110526.31578947368
"Huberdeau, Jonathan",CGY,LW,32,50,10,15,25,0.5,0.1099,10500000,420000.0
"Price, Carey",SJS,G,38,0,0,0,0,0.0,0.1099,10500000,10500000.0
"Barkov, Aleksander",FLA,C,30,0,0,0,0,0.0,0.1047,10000000,10000000.0
"Bobrovsky, Sergei",FLA,G,37,52,0,2,0,0.0,0.1047,10000000,10000000.0
"Eichel, Jack",VGK,C,29,74,27,63,90,1.22,0.1047,10000000,111111.11111111111
"Seguin, Tyler",DAL,"RW, C, LW",34,27,7,10,17,0.63,0.1031,9850000,579411.7647058824
